B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 3
B08, Trade, 145735.400, 78, B08, S04, 1
B08, Trade, 146022.033, 75, B08, S00, 1
B08, Trade, 147912.233, 76, B08, S01, 1
B08, Trade, 148344.117, 78, B08, S03, 1
B08, Trade, 148704.783, 76, B08, S03, 1
B08, Trade, 148842.433, 76, B08, S03, 1
B08, Trade, 149155.833, 78, B08, S03, 1
B08, Trade, 150255.983, 78, B08, S03, 1
B08, Trade, 150268.850, 77, B08, S01, 1
B08, Trade, 150982.250, 78, B08, S01, 1
B08, Trade, 151699.900, 72, B08, S03, 1
B08, Trade, 154218.750, 78, B08, S03, 1
B08, Trade, 154584.350, 78, B08, S01, 1
B08, Trade, 154914.383, 78, B08, S04, 1
B08, Trade, 158307.483, 78, B08, S04, 1
B08, Trade, 158424.567, 78, B08, S06, 1
B08, Trade, 159778.433, 78, B08, S02, 1
B08, Trade, 160950.250, 78, B08, S02, 1
B08, Trade, 163669.433, 78, B08, S05, 1
B08, Trade, 165440.133, 78, B08, S02, 1
B08, Trade, 168231.433, 73, B08, S03, 1
B08, Trade, 177092.083, 78, B08, S02, 1
B08, Trade, 187626.950, 78, B08, S05, 1
B08, Trade, 190647.350, 76, B08, S01, 1
B08, Trade, 190747.333, 78, B08, S05, 1
B08, Trade, 191816.450, 78, B08, S03, 1
B08, Trade, 192701.967, 78, B08, S03, 1
B08, Trade, 193659.533, 78, B08, S02, 1
B08, Trade, 193685.983, 76, B08, S03, 1
B08, Trade, 194024.667, 78, B08, S03, 1
B08, Trade, 194156.167, 78, B08, S03, 1
B08, Trade, 227879.900, 78, B08, S04, 1
B08, Trade, 228050.233, 78, B08, S02, 1
B08, Trade, 232583.533, 76, B08, S03, 1
B08, Trade, 233463.817, 76, B08, S03, 1
B08, Trade, 234035.450, 78, B08, S00, 1
B08, Trade, 234846.083, 76, B08, S03, 1
B08, Trade, 236327.683, 78, B08, S04, 1
B08, Trade, 238364.117, 78, B08, S01, 1
B08, Trade, 240557.683, 78, B08, S04, 1
B08, Trade, 241016.100, 76, B08, S03, 1
B08, Trade, 241837.883, 78, B08, S03, 1
B08, Trade, 244308.217, 78, B08, S05, 1
B08, Trade, 251724.733, 77, B08, S02, 1
B08, Trade, 252976.050, 78, B08, S03, 1
B08, Trade, 253819.133, 78, B08, S03, 1
B08, Trade, 267156.067, 78, B08, S00, 1
B08, Trade, 267764.050, 78, B08, S01, 1
B08, Trade, 270676.600, 78, B08, S02, 1
B08, Trade, 272336.483, 75, B08, S02, 1
B08, Trade, 281365.367, 73, B08, S03, 1
B08, Trade, 284544.367, 78, B08, S04, 1
B08, Trade, 286086.717, 78, B08, S03, 1
B08, Trade, 291044.167, 78, B08, S01, 1
B08, Trade, 292919.233, 77, B08, S01, 1
B08, Trade, 295630.817, 78, B08, S04, 1
B08, Trade, 297790.767, 78, B08, S04, 1
B08, Trade, 299039.967, 78, B08, S04, 1
B08, Trade, 309662.600, 78, B08, S02, 1
B08, Trade, 310657.533, 78, B08, S05, 1
B08, Trade, 324687.100, 76, B08, S04, 1
B08, Trade, 328530.550, 78, B08, S01, 1
B08, Trade, 332449.683, 75, B08, S03, 1
B08, Trade, 333270.050, 78, B08, S04, 1
B08, Trade, 333915.817, 78, B08, S03, 1
B08, Trade, 336844.167, 78, B08, S03, 1
B08, Trade, 346337.750, 78, B08, S02, 1
B08, Trade, 350142.400, 78, B08, S01, 1
B08, Trade, 354515.550, 75, B08, S00, 1
B08, Trade, 357313.567, 78, B08, S02, 1
B08, Trade, 359299.267, 78, B08, S00, 1
B08, Trade, 364915.967, 78, B08, S04, 1
B08, Trade, 365038.400, 78, B08, S00, 1
B08, Trade, 375789.717, 80, B08, S04, 1
B08, Trade, 378787.683, 77, B08, S03, 1
B08, Trade, 380178.083, 79, B08, S04, 1
B08, Trade, 380892.217, 81, B08, S05, 1
B08, Trade, 407231.983, 76, B08, S00, 1
B08, Trade, 416794.350, 78, B08, S05, 1
B09, 100
B09, Trade, 283783.717, 79, B09, S05, 1
B09, Trade, 284544.417, 76, B09, S03, 1
B09, Trade, 286725.017, 79, B09, S01, 1
B09, Trade, 287555.667, 79, B09, S01, 1
B09, Trade, 288007.067, 81, B09, S06, 1
B09, Trade, 288049.850, 84, B09, S05, 1
B09, Trade, 288381.600, 83, B09, S06, 1
B09, Trade, 288463.650, 84, B09, S08, 1
B09, Trade, 288470.817, 84, B09, S04, 1
B09, Trade, 288561.833, 84, B09, S03, 1
B09, Trade, 288836.767, 84, B09, S03, 1
B09, Trade, 289953.683, 84, B09, S06, 1
B09, Trade, 290214.050, 84, B09, S03, 1
B09, Trade, 290389.233, 84, B09, S01, 1
B09, Trade, 290772.750, 80, B09, S03, 1
B09, Trade, 290817.817, 83, B09, S04, 1
B09, Trade, 291259.767, 84, B09, S01, 1
B09, Trade, 292025.783, 83, B09, S07, 1
B09, Trade, 292060.583, 79, B09, S00, 1
B09, Trade, 292310.483, 83, B09, S03, 1
B09, Trade, 292885.967, 81, B09, S04, 1
B09, Trade, 293078.283, 79, B09, S05, 1
B09, Trade, 293174.900, 84, B09, S03, 1
B09, Trade, 293371.817, 82, B09, S03, 1
B09, Trade, 293391.550, 82, B09, S01, 1
B09, Trade, 293536.567, 84, B09, S04, 1
B09, Trade, 293999.000, 83, B09, S05, 1
B09, Trade, 294786.533, 82, B09, S01, 1
B09, Trade, 294989.533, 84, B09, S08, 1
B09, Trade, 295029.217, 82, S03, B09, 1
B09, Trade, 299886.033, 79, B09, S03, 1
B09, Trade, 300453.433, 79, B09, S01, 1
B09, Trade, 301248.900, 79, B09, S03, 1
B09, Trade, 301553.983, 79, B09, S03, 1
B09, Trade, 303618.367, 79, B09, S01, 1
B09, Trade, 304397.667, 79, B09, S04, 1
B09, Trade, 308051.317, 79, B09, S00, 1
B09, Trade, 308229.533, 79, B09, S04, 1
B09, Trade, 309082.133, 79, B09, S03, 1
B09, Trade, 309662.167, 79, B09, S03, 1
B09, Trade, 309847.100, 79, B09, S03, 1
B09, Trade, 311833.333, 79, B09, S06, 1
B09, Trade, 312460.967, 79, B09, S04, 1
B09, Trade, 315047.933, 79, B09, S03, 1
B09, Trade, 315347.417, 79, B09, S03, 1
B09, Trade, 317322.883, 79, B09, S05, 1
B09, Trade, 318310.800, 79, B09, S03, 1
B09, Trade, 319577.200, 79, B09, S05, 1
B09, Trade, 322406.900, 79, B09, S00, 1
B09, Trade, 322650.067, 79, B09, S02, 1
B09, Trade, 323259.433, 79, B09, S03, 1
B09, Trade, 323306.267, 79, B09, S03, 1
B09, Trade, 327024.750, 84, B09, S04, 1
B09, Trade, 329486.200, 84, B09, S03, 1
B09, Trade, 329758.000, 83, B09, S01, 1
B09, Trade, 332038.317, 79, B09, S04, 1
B09, Trade, 332449.867, 71, B09, S01, 1
B09, Trade, 333355.067, 79, B09, S04, 1
B09, Trade, 334273.583, 79, B09, S01, 1
B09, Trade, 334293.833, 79, B09, S03, 1
B09, Trade, 337718.533, 79, B09, S03, 1
B09, Trade, 339241.500, 79, B09, S01, 1
B09, Trade, 346049.967, 78, B09, S01, 1
B09, Trade, 348860.583, 79, B09, S00, 1
B09, Trade, 350753.600, 79, B09, S00, 1
B09, Trade, 350989.583, 79, B09, S01, 1
B09, Trade, 351059.150, 79, B09, S04, 1
B09, Trade, 353020.000, 79, B09, S02, 1
B09, Trade, 353291.867, 79, B09, S02, 1
B09, Trade, 353822.217, 79, B09, S02, 1
