Trd, 430643.633, 86
Trd, 430643.817, 100
Trd, 430644.233, 100
Trd, 430646.433, 98
Trd, 430646.850, 95
Trd, 430646.883, 94
Trd, 430647.083, 99
Trd, 430648.533, 91
Trd, 430648.833, 106
Trd, 430649.033, 84
Trd, 430649.450, 108
Trd, 430650.817, 99
Trd, 430651.450, 78
Trd, 430651.617, 112
Trd, 430652.400, 80
Trd, 430652.700, 78
Trd, 430652.833, 79
Trd, 430653.367, 112
Trd, 430654.117, 93
Trd, 430654.933, 78
Trd, 430655.500, 87
Trd, 430655.767, 94
Trd, 430656.517, 116
Trd, 430657.400, 85
Trd, 430658.450, 105
Trd, 430658.733, 91
Trd, 430659.617, 100
Trd, 430659.750, 85
Trd, 430661.133, 99
Trd, 430661.983, 89
Trd, 430662.583, 104
Trd, 430663.633, 112
Trd, 430664.267, 92
Trd, 430665.967, 112
Trd, 430665.983, 76
Trd, 430666.817, 91
Trd, 430667.233, 106
Trd, 430667.467, 105
Trd, 430668.433, 104
Trd, 430668.567, 97
Trd, 430670.083, 103
Trd, 430670.250, 100
Trd, 430670.750, 99
Trd, 430671.300, 108
Trd, 430673.350, 103
Trd, 430674.700, 107
Trd, 430675.283, 108
Trd, 430676.117, 106
Trd, 430676.567, 96
Trd, 430676.983, 94
Trd, 430678.533, 89
Trd, 430678.700, 88
Trd, 430678.950, 92
Trd, 430679.250, 98
Trd, 430679.517, 101
Trd, 430680.083, 111
Trd, 430681.233, 87
Trd, 430682.517, 105
Trd, 430683.350, 100
Trd, 430683.367, 112
Trd, 430683.700, 92
Trd, 430686.650, 99
Trd, 430687.233, 91
Trd, 430687.567, 88
Trd, 430687.750, 76
Trd, 430688.000, 75
Trd, 430688.800, 99
Trd, 430689.867, 101
Trd, 430690.117, 104
Trd, 430690.550, 101
Trd, 430693.217, 106
Trd, 430693.567, 104
Trd, 430694.000, 104
Trd, 430694.200, 87
Trd, 430694.283, 92
Trd, 430694.683, 93
Trd, 430695.550, 104
Trd, 430695.617, 110
Trd, 430696.967, 113
Trd, 430697.283, 101
Trd, 430698.333, 110
Trd, 430699.667, 106
Trd, 430700.000, 95
Trd, 430702.917, 99
Trd, 430703.217, 101
Trd, 430703.250, 91
Trd, 430704.417, 97
Trd, 430704.967, 101
Trd, 430706.033, 101
Trd, 430706.050, 100
Trd, 430706.583, 87
Trd, 430706.933, 76
Trd, 430707.800, 92
Trd, 430708.367, 104
Trd, 430708.417, 106
Trd, 430708.833, 112
Trd, 430710.133, 109
Trd, 430711.250, 116
Trd, 430711.350, 108
Trd, 430712.733, 106
Trd, 430713.000, 94
Trd, 430714.017, 88
Trd, 430714.783, 101
Trd, 430715.083, 101
Trd, 430715.700, 107
Trd, 430717.183, 82
Trd, 430719.683, 98
Trd, 430719.800, 97
Trd, 430720.067, 103
Trd, 430720.517, 104
Trd, 430722.600, 106
Trd, 430722.617, 108
Trd, 430722.750, 94
Trd, 430723.800, 106
Trd, 430724.483, 87
Trd, 430725.300, 89
Trd, 430725.800, 97
Trd, 430726.133, 90
Trd, 430726.550, 87
Trd, 430727.100, 97
Trd, 430727.433, 98
Trd, 430727.450, 104
Trd, 430727.733, 92
Trd, 430728.817, 117
Trd, 430731.150, 104
Trd, 430731.900, 102
Trd, 430732.117, 105
Trd, 430732.300, 107
Trd, 430732.800, 94
Trd, 430733.717, 107
Trd, 430734.550, 92
Trd, 430735.200, 109
Trd, 430736.867, 100
Trd, 430737.500, 100
Trd, 430737.667, 98
Trd, 430739.167, 91
Trd, 430739.433, 108
Trd, 430740.450, 98
Trd, 430740.483, 87
Trd, 430740.717, 99
Trd, 430740.900, 79
Trd, 430741.983, 111
Trd, 430742.183, 73
Trd, 430742.467, 114
Trd, 430744.800, 101
Trd, 430745.017, 114
Trd, 430746.067, 85
Trd, 430746.317, 104
Trd, 430747.900, 114
Trd, 430748.300, 88
Trd, 430749.417, 104
Trd, 430749.700, 98
Trd, 430750.350, 96
Trd, 430750.833, 107
Trd, 430752.050, 107
Trd, 430752.717, 92
Trd, 430753.183, 110
Trd, 430753.783, 113
Trd, 430754.167, 117
Trd, 430755.050, 120
Trd, 430755.717, 119
Trd, 430755.983, 116
Trd, 430758.383, 93
Trd, 430758.733, 96
Trd, 430759.800, 100
Trd, 430762.050, 87
Trd, 430762.333, 84
Trd, 430763.417, 83
Trd, 430763.450, 81
Trd, 430765.983, 90
Trd, 430767.150, 78
Trd, 430767.333, 92
Trd, 430767.450, 79
Trd, 430767.583, 93
Trd, 430769.367, 101
Trd, 430769.533, 90
Trd, 430770.283, 100
Trd, 430770.750, 89
Trd, 430770.983, 101
Trd, 430771.433, 90
Trd, 430772.333, 101
