B00, 0
B01, 0
B02, 0
B03, 0
B04, 13
B04, Trade, 29800.717, 71, B04, S03, 1
B04, Trade, 217619.233, 71, B04, S00, 1
B04, Trade, 222017.083, 71, B04, S01, 1
B04, Trade, 411368.917, 71, B04, S01, 1
B04, Trade, 411467.283, 71, B04, S02, 1
B04, Trade, 411808.917, 71, B04, S04, 1
B04, Trade, 413359.683, 71, B04, S02, 1
B04, Trade, 413662.950, 71, B04, S03, 1
B04, Trade, 413932.433, 71, B04, S04, 1
B04, Trade, 414046.167, 71, B04, S02, 1
B04, Trade, 414754.233, 70, B04, S01, 1
B04, Trade, 416752.967, 71, B04, S04, 1
B04, Trade, 426708.600, 71, B04, S00, 1
B05, 7
B05, Trade, 7948.317, 73, B05, S04, 1
B05, Trade, 8614.117, 73, B05, S03, 1
B05, Trade, 168313.533, 73, B05, S01, 1
B05, Trade, 226916.433, 73, B05, S04, 1
B05, Trade, 336061.683, 72, B05, S02, 1
B05, Trade, 377440.817, 73, B05, S02, 1
B05, Trade, 379285.400, 73, B05, S01, 1
B06, 95
B06, Trade, 135911.467, 75, B06, S02, 1
B06, Trade, 173362.667, 74, S02, B06, 1
B06, Trade, 176650.400, 72, B06, S01, 1
B06, Trade, 178948.983, 76, B06, S04, 1
B06, Trade, 203475.133, 75, B06, S01, 1
B06, Trade, 205867.983, 76, B06, S03, 1
B06, Trade, 207156.133, 76, B06, S03, 1
B06, Trade, 208523.167, 74, B06, S00, 1
B06, Trade, 210473.117, 76, B06, S01, 1
B06, Trade, 212466.417, 76, B06, S01, 1
B06, Trade, 212977.367, 74, B06, S00, 1
B06, Trade, 215375.117, 74, B06, S00, 1
B06, Trade, 216178.717, 76, B06, S01, 1
B06, Trade, 216200.867, 73, B06, S00, 1
B06, Trade, 216634.050, 76, B06, S00, 1
B06, Trade, 216719.550, 76, B06, S02, 1
B06, Trade, 217181.500, 76, B06, S00, 1
B06, Trade, 217376.683, 76, B06, S01, 1
B06, Trade, 217546.333, 76, B06, S04, 1
B06, Trade, 218201.650, 76, B06, S01, 1
B06, Trade, 219303.750, 76, B06, S00, 1
B06, Trade, 220453.083, 76, B06, S01, 1
B06, Trade, 220510.367, 76, B06, S06, 1
B06, Trade, 220587.983, 76, B06, S00, 1
B06, Trade, 220705.200, 75, B06, S00, 1
B06, Trade, 220752.633, 76, B06, S01, 1
B06, Trade, 221094.867, 75, B06, S00, 1
B06, Trade, 221159.933, 76, B06, S00, 1
B06, Trade, 222010.917, 76, B06, S01, 1
B06, Trade, 222067.067, 76, B06, S04, 1
B06, Trade, 222191.450, 76, B06, S00, 1
B06, Trade, 222286.983, 76, B06, S04, 1
B06, Trade, 222785.183, 76, B06, S00, 1
B06, Trade, 222986.433, 76, B06, S01, 1
B06, Trade, 223119.933, 75, B06, S01, 1
B06, Trade, 223501.417, 76, B06, S04, 1
B06, Trade, 223789.550, 76, B06, S01, 1
B06, Trade, 224332.433, 76, B06, S00, 1
B06, Trade, 225239.400, 76, B06, S04, 1
B06, Trade, 225725.700, 76, B06, S01, 1
B06, Trade, 225733.517, 76, B06, S05, 1
B06, Trade, 226859.600, 76, B06, S04, 1
B06, Trade, 227182.150, 76, B06, S04, 1
B06, Trade, 227832.333, 76, B06, S04, 1
B06, Trade, 228101.117, 76, B06, S05, 1
B06, Trade, 228333.583, 76, B06, S05, 1
B06, Trade, 229161.700, 76, B06, S03, 1
B06, Trade, 229180.350, 76, B06, S05, 1
B06, Trade, 229605.383, 76, B06, S04, 1
B06, Trade, 230239.717, 76, B06, S04, 1
B06, Trade, 231870.200, 74, B06, S04, 1
B06, Trade, 255764.900, 76, B06, S04, 1
B06, Trade, 256704.450, 75, B06, S03, 1
B06, Trade, 258408.200, 76, B06, S03, 1
B06, Trade, 258556.383, 76, B06, S01, 1
B06, Trade, 270977.750, 76, B06, S01, 1
B06, Trade, 273884.300, 73, B06, S04, 1
