B00, 0
B01, 0
B02, 1
B02, Trade, 296440.467, 65, B02, S00, 1
B03, 15
B03, Trade, 23635.767, 68, B03, S01, 1
B03, Trade, 24085.567, 68, B03, S02, 1
B03, Trade, 25856.533, 68, B03, S02, 1
B03, Trade, 26321.583, 68, B03, S02, 1
B03, Trade, 26720.883, 68, B03, S02, 1
B03, Trade, 26978.583, 68, B03, S02, 1
B03, Trade, 27175.733, 68, B03, S02, 1
B03, Trade, 295902.217, 68, B03, S01, 1
B03, Trade, 296096.267, 68, B03, S01, 1
B03, Trade, 298198.250, 68, B03, S01, 1
B03, Trade, 298240.233, 68, B03, S00, 1
B03, Trade, 301941.967, 68, B03, S00, 1
B03, Trade, 334636.017, 68, B03, S00, 1
B03, Trade, 335440.300, 68, B03, S00, 1
B03, Trade, 337544.283, 68, B03, S00, 1
B04, 9
B04, Trade, 139609.967, 71, B04, S00, 1
B04, Trade, 172167.100, 71, B04, S03, 1
B04, Trade, 174170.567, 71, B04, S00, 1
B04, Trade, 175947.000, 71, B04, S00, 1
B04, Trade, 176528.867, 71, B04, S00, 1
B04, Trade, 178003.350, 71, B04, S00, 1
B04, Trade, 179636.933, 71, B04, S00, 1
B04, Trade, 288325.067, 71, B04, S02, 1
B04, Trade, 346353.467, 69, B04, S00, 1
B05, 20
B05, Trade, 22695.483, 72, B05, S02, 1
B05, Trade, 104686.250, 73, B05, S00, 1
B05, Trade, 106791.083, 73, B05, S00, 1
B05, Trade, 106880.883, 73, B05, S00, 1
B05, Trade, 106993.517, 73, B05, S04, 1
B05, Trade, 107620.150, 73, B05, S04, 1
B05, Trade, 108881.700, 73, B05, S02, 1
B05, Trade, 117369.600, 73, B05, S00, 1
B05, Trade, 119832.600, 73, B05, S00, 1
B05, Trade, 121246.433, 73, B05, S00, 1
B05, Trade, 319298.750, 73, B05, S04, 1
B05, Trade, 331937.900, 68, B05, S01, 1
B05, Trade, 334039.817, 72, B05, S01, 1
B05, Trade, 346864.200, 73, B05, S01, 1
B05, Trade, 350232.467, 73, B05, S00, 1
B05, Trade, 351422.583, 73, B05, S00, 1
B05, Trade, 351566.683, 73, B05, S00, 1
B05, Trade, 353079.683, 73, B05, S04, 1
B05, Trade, 400173.617, 73, B05, S01, 1
B05, Trade, 429087.433, 73, B05, S03, 1
B06, 56
B06, Trade, 28640.833, 75, B06, S04, 1
B06, Trade, 84408.117, 76, B06, S00, 1
B06, Trade, 105224.600, 76, B06, S01, 1
B06, Trade, 107371.300, 75, B06, S00, 1
B06, Trade, 136900.667, 76, B06, S05, 1
B06, Trade, 136915.333, 76, B06, S00, 1
B06, Trade, 137195.400, 76, B06, S01, 1
B06, Trade, 137271.317, 76, B06, S00, 1
B06, Trade, 137342.433, 76, B06, S02, 1
B06, Trade, 137495.467, 72, B06, S02, 1
B06, Trade, 137569.200, 76, B06, S02, 1
B06, Trade, 137586.150, 76, B06, S02, 1
B06, Trade, 137696.700, 75, B06, S00, 1
B06, Trade, 137744.583, 76, B06, S05, 1
B06, Trade, 137857.517, 76, B06, S05, 1
B06, Trade, 137998.033, 76, B06, S02, 1
B06, Trade, 138136.200, 76, B06, S05, 1
B06, Trade, 138425.600, 76, B06, S00, 1
B06, Trade, 138454.783, 76, B06, S02, 1
B06, Trade, 138485.350, 76, B06, S00, 1
B06, Trade, 139142.017, 76, B06, S01, 1
B06, Trade, 139235.833, 76, B06, S01, 1
B06, Trade, 139255.650, 76, B06, S01, 1
B06, Trade, 139495.133, 76, B06, S00, 1
B06, Trade, 139602.817, 76, B06, S00, 1
B06, Trade, 139939.517, 76, B06, S02, 1
B06, Trade, 139950.750, 76, B06, S02, 1
B06, Trade, 140160.267, 76, B06, S02, 1
B06, Trade, 140743.600, 76, B06, S00, 1
B06, Trade, 141243.867, 76, B06, S00, 1
B06, Trade, 141255.917, 76, B06, S02, 1
B06, Trade, 141491.383, 76, B06, S02, 1
B06, Trade, 141710.600, 76, B06, S01, 1
B06, Trade, 141789.167, 76, B06, S00, 1
B06, Trade, 141812.800, 76, B06, S05, 1
B06, Trade, 141924.767, 76, B06, S05, 1
B06, Trade, 142446.650, 76, B06, S05, 1
B06, Trade, 142518.217, 76, B06, S05, 1
B06, Trade, 142725.717, 76, B06, S00, 1
B06, Trade, 143088.733, 76, B06, S00, 1
B06, Trade, 143550.883, 76, B06, S02, 1
B06, Trade, 143619.233, 76, B06, S00, 1
B06, Trade, 143695.050, 76, B06, S02, 1
B06, Trade, 143958.350, 76, B06, S05, 1
B06, Trade, 143984.167, 76, B06, S00, 1
B06, Trade, 162680.783, 76, B06, S01, 1
B06, Trade, 211823.417, 74, B06, S01, 1
B06, Trade, 235402.100, 71, B06, S00, 1
B06, Trade, 275081.267, 75, B06, S00, 1
B06, Trade, 276629.233, 74, S02, B06, 1
B06, Trade, 278560.350, 76, B06, S02, 1
B06, Trade, 291659.583, 75, B06, S01, 1
B06, Trade, 296140.900, 73, B06, S00, 1
B06, Trade, 323580.267, 76, S06, B06, 1
B06, Trade, 364879.017, 74, S05, B06, 1
B06, Trade, 403198.783, 76, B06, S01, 1
B07, 100
B07, Trade, 331129.817, 79, B07, S03, 1
B07, Trade, 335415.800, 77, B07, S00, 1
B07, Trade, 339746.067, 77, S06, B07, 1
B07, Trade, 343347.417, 78, B07, S06, 1
B07, Trade, 344214.650, 76, B07, S06, 1
B07, Trade, 345550.383, 78, B07, S02, 1
B07, Trade, 346447.500, 79, B07, S01, 1
B07, Trade, 350637.117, 78, B07, S05, 1
B07, Trade, 350861.300, 79, B07, S06, 1
B07, Trade, 351088.767, 79, B07, S01, 1
B07, Trade, 351849.367, 74, B07, S00, 1
B07, Trade, 355498.567, 75, B07, S03, 1
B07, Trade, 359157.100, 79, B07, S05, 1
B07, Trade, 367559.200, 79, B07, S05, 1
B07, Trade, 368278.050, 79, B07, S07, 1
B07, Trade, 373571.500, 79, B07, S06, 1
B07, Trade, 388807.583, 79, B07, S01, 1
B07, Trade, 389242.133, 79, B07, S01, 1
B07, Trade, 389407.817, 79, B07, S01, 1
B07, Trade, 389703.750, 79, B07, S03, 1
B07, Trade, 389786.367, 79, B07, S02, 1
B07, Trade, 390026.417, 79, B07, S01, 1
B07, Trade, 390151.667, 79, B07, S02, 1
B07, Trade, 390167.333, 79, B07, S02, 1
B07, Trade, 390288.600, 79, B07, S00, 1
B07, Trade, 390776.833, 79, B07, S02, 1
B07, Trade, 390826.750, 79, B07, S06, 1
B07, Trade, 390911.867, 79, B07, S01, 1
B07, Trade, 390956.833, 79, B07, S01, 1
B07, Trade, 391253.983, 79, B07, S00, 1
B07, Trade, 391371.800, 79, B07, S02, 1
B07, Trade, 391404.550, 78, B07, S01, 1
B07, Trade, 391439.317, 79, B07, S00, 1
B07, Trade, 391461.367, 79, B07, S00, 1
B07, Trade, 391483.400, 79, B07, S06, 1
B07, Trade, 391497.667, 78, B07, S06, 1
B07, Trade, 391543.683, 79, B07, S01, 1
B07, Trade, 392022.233, 79, B07, S06, 1
B07, Trade, 392043.733, 79, B07, S06, 1
B07, Trade, 392096.950, 79, B07, S06, 1
B07, Trade, 392205.817, 79, B07, S02, 1
B07, Trade, 392589.467, 79, B07, S03, 1
B07, Trade, 392941.333, 79, B07, S03, 1
B07, Trade, 392987.900, 79, B07, S02, 1
B07, Trade, 393506.683, 79, B07, S02, 1
B07, Trade, 393766.100, 79, B07, S06, 1
B07, Trade, 394257.233, 79, B07, S02, 1
B07, Trade, 394353.883, 79, B07, S02, 1
B07, Trade, 394372.117, 79, B07, S06, 1
B07, Trade, 394467.283, 79, B07, S03, 1
B07, Trade, 394963.867, 79, B07, S02, 1
B07, Trade, 395020.033, 79, B07, S05, 1
B07, Trade, 395239.800, 79, B07, S05, 1
B07, Trade, 395256.067, 79, B07, S02, 1
B07, Trade, 395404.200, 79, B07, S06, 1
B07, Trade, 395452.250, 79, B07, S06, 1
B07, Trade, 395782.867, 79, B07, S01, 1
B07, Trade, 395976.617, 79, B07, S02, 1
B07, Trade, 404377.483, 79, B07, S06, 1
B07, Trade, 404910.950, 79, B07, S03, 1
B07, Trade, 404985.400, 79, B07, S02, 1
B07, Trade, 406266.000, 77, B07, S03, 1
B07, Trade, 407781.650, 76, B07, S05, 1
B07, Trade, 409319.517, 78, B07, S05, 1
B07, Trade, 410149.317, 79, B07, S03, 1
B07, Trade, 417892.367, 79, B07, S06, 1
B07, Trade, 418025.133, 79, B07, S02, 1
B07, Trade, 418104.450, 79, B07, S06, 1
B07, Trade, 418127.667, 79, B07, S05, 1
B07, Trade, 418433.167, 79, B07, S06, 1
B07, Trade, 419103.717, 78, B07, S03, 1
B07, Trade, 419184.033, 79, B07, S06, 1
B07, Trade, 419271.450, 79, B07, S01, 1
B07, Trade, 419404.083, 79, B07, S06, 1
B07, Trade, 419503.050, 79, B07, S02, 1
B07, Trade, 419613.000, 79, B07, S05, 1
B07, Trade, 419900.917, 79, B07, S01, 1
B07, Trade, 419931.100, 79, B07, S01, 1
B07, Trade, 420141.517, 79, B07, S01, 1
B07, Trade, 420761.417, 79, B07, S02, 1
B07, Trade, 421098.467, 79, B07, S02, 1
