B00, 0
B01, 0
B02, 0
B03, 2
B03, Trade, 79811.183, 68, B03, S01, 1
B03, Trade, 83715.683, 68, B03, S01, 1
B04, 14
B04, Trade, 110194.383, 71, B04, S01, 1
B04, Trade, 153194.250, 71, B04, S01, 1
B04, Trade, 155553.700, 71, B04, S01, 1
B04, Trade, 167979.183, 71, B04, S01, 1
B04, Trade, 178043.433, 70, B04, S01, 1
B04, Trade, 208640.600, 71, B04, S01, 1
B04, Trade, 237606.100, 71, B04, S01, 1
B04, Trade, 238946.383, 71, B04, S02, 1
B04, Trade, 240030.850, 71, B04, S02, 1
B04, Trade, 240256.083, 71, B04, S02, 1
B04, Trade, 240602.333, 71, B04, S02, 1
B04, Trade, 240982.450, 71, B04, S02, 1
B04, Trade, 241642.150, 70, B04, S02, 1
B04, Trade, 243742.133, 71, B04, S02, 1
B05, 18
B05, Trade, 38540.150, 73, B05, S00, 1
B05, Trade, 39056.683, 73, B05, S02, 1
B05, Trade, 41906.117, 73, B05, S02, 1
B05, Trade, 57560.183, 73, B05, S00, 1
B05, Trade, 98894.417, 72, B05, S00, 1
B05, Trade, 108781.200, 73, B05, S01, 1
B05, Trade, 112971.617, 73, B05, S01, 1
B05, Trade, 122796.417, 73, B05, S01, 1
B05, Trade, 122931.033, 72, B05, S03, 1
B05, Trade, 126510.950, 73, B05, S02, 1
B05, Trade, 133364.483, 73, B05, S05, 1
B05, Trade, 135513.950, 72, B05, S00, 1
B05, Trade, 146551.317, 73, B05, S05, 1
B05, Trade, 158631.717, 72, B05, S02, 1
B05, Trade, 159376.183, 72, B05, S01, 1
B05, Trade, 161861.050, 70, B05, S01, 1
B05, Trade, 192787.117, 73, B05, S01, 1
B05, Trade, 244208.150, 72, B05, S02, 1
B06, 100
B06, Trade, 85529.967, 76, B06, S04, 1
B06, Trade, 85971.933, 76, B06, S02, 1
B06, Trade, 86252.767, 76, B06, S04, 1
B06, Trade, 93673.150, 76, B06, S05, 1
B06, Trade, 93957.467, 76, B06, S06, 1
B06, Trade, 93988.833, 76, B06, S05, 1
B06, Trade, 94084.333, 76, B06, S05, 1
B06, Trade, 94583.117, 76, B06, S01, 1
B06, Trade, 94957.567, 76, B06, S01, 1
B06, Trade, 95022.067, 76, B06, S00, 1
B06, Trade, 95132.100, 76, B06, S01, 1
B06, Trade, 95147.867, 76, B06, S00, 1
B06, Trade, 95163.833, 76, B06, S05, 1
B06, Trade, 95262.150, 76, B06, S01, 1
B06, Trade, 95379.433, 76, B06, S01, 1
B06, Trade, 95386.033, 76, B06, S00, 1
B06, Trade, 95536.917, 76, B06, S06, 1
B06, Trade, 95772.733, 76, B06, S01, 1
B06, Trade, 95845.833, 76, B06, S01, 1
B06, Trade, 95992.583, 76, B06, S06, 1
B06, Trade, 96033.550, 76, B06, S05, 1
B06, Trade, 96094.067, 76, B06, S06, 1
B06, Trade, 96292.150, 76, B06, S01, 1
B06, Trade, 96395.533, 76, B06, S01, 1
B06, Trade, 96615.117, 76, B06, S05, 1
B06, Trade, 96670.967, 76, B06, S05, 1
B06, Trade, 96706.700, 76, B06, S00, 1
B06, Trade, 96945.067, 76, B06, S01, 1
B06, Trade, 97019.933, 76, B06, S01, 1
B06, Trade, 97263.517, 76, B06, S00, 1
B06, Trade, 97476.700, 76, B06, S06, 1
B06, Trade, 97566.067, 76, B06, S02, 1
B06, Trade, 97701.100, 76, B06, S05, 1
B06, Trade, 97731.467, 76, B06, S00, 1
B06, Trade, 97923.633, 76, B06, S01, 1
B06, Trade, 97961.317, 76, B06, S01, 1
B06, Trade, 98272.500, 76, B06, S01, 1
B06, Trade, 98484.683, 76, B06, S01, 1
B06, Trade, 98539.400, 76, B06, S00, 1
B06, Trade, 98555.683, 76, B06, S05, 1
B06, Trade, 98565.750, 76, B06, S00, 1
