B00, 100
B00, Trade, 257258.183, 136, S17, B00, 1
B00, Trade, 257278.833, 107, B00, S12, 1
B00, Trade, 257290.650, 122, S14, B00, 1
B00, Trade, 257308.317, 84, B00, S01, 1
B00, Trade, 257318.817, 129, B00, S29, 1
B00, Trade, 257335.483, 90, S09, B00, 1
B00, Trade, 257350.133, 109, B00, S07, 1
B00, Trade, 257361.733, 131, S16, B00, 1
B00, Trade, 257378.317, 132, S11, B00, 1
B00, Trade, 257420.033, 64, S27, B00, 1
B00, Trade, 257421.667, 61, S22, B00, 1
B00, Trade, 257443.517, 62, S13, B00, 1
B00, Trade, 257444.900, 69, S20, B00, 1
B00, Trade, 257456.533, 103, B00, S00, 1
B00, Trade, 257466.917, 66, B00, S23, 1
B00, Trade, 257473.233, 97, S04, B00, 1
B00, Trade, 257513.883, 117, B00, S24, 1
B00, Trade, 257534.650, 60, S10, B00, 1
B00, Trade, 257546.667, 84, B00, S20, 1
B00, Trade, 257569.550, 135, B00, S17, 1
B00, Trade, 257575.850, 112, B00, S27, 1
B00, Trade, 257579.583, 60, S29, B00, 1
B00, Trade, 257595.333, 126, B00, S27, 1
B00, Trade, 257603.750, 65, B00, S23, 1
B00, Trade, 257648.100, 93, B00, S08, 1
B00, Trade, 257664.550, 115, S21, B00, 1
B00, Trade, 257713.983, 92, S13, B00, 1
B00, Trade, 257738.583, 95, S19, B00, 1
B00, Trade, 257756.133, 130, B00, S14, 1
B00, Trade, 257787.750, 84, B00, S07, 1
B00, Trade, 257798.783, 117, B00, S23, 1
B00, Trade, 257820.083, 136, S17, B00, 1
B00, Trade, 257850.750, 71, B00, S27, 1
B00, Trade, 257914.600, 130, B00, S07, 1
B00, Trade, 257935.933, 108, B00, S26, 1
B00, Trade, 257938.233, 116, S22, B00, 1
B00, Trade, 257961.983, 63, S14, B00, 1
B00, Trade, 257999.917, 121, B00, S06, 1
B00, Trade, 258028.317, 130, B00, S00, 1
B00, Trade, 258055.650, 118, S21, B00, 1
B00, Trade, 258071.150, 122, S16, B00, 1
B00, Trade, 258116.383, 131, B00, S15, 1
B00, Trade, 258125.867, 122, S04, B00, 1
B00, Trade, 258192.633, 109, B00, S10, 1
B00, Trade, 258208.150, 125, S13, B00, 1
B00, Trade, 258236.933, 123, S18, B00, 1
B00, Trade, 258242.233, 124, S09, B00, 1
B00, Trade, 258285.217, 63, S23, B00, 1
B00, Trade, 258309.483, 126, S18, B00, 1
B00, Trade, 258323.000, 106, B00, S01, 1
B00, Trade, 258415.317, 123, B00, S15, 1
B00, Trade, 258421.933, 104, S29, B00, 1
B00, Trade, 258429.650, 117, S13, B00, 1
B00, Trade, 258463.333, 110, B00, S00, 1
B00, Trade, 258486.417, 131, S17, B00, 1
B00, Trade, 258529.883, 112, B00, S20, 1
B00, Trade, 258535.483, 138, B00, S21, 1
B00, Trade, 258546.333, 133, S05, B00, 1
B00, Trade, 258556.900, 113, B00, S15, 1
B00, Trade, 258586.250, 126, S22, B00, 1
B00, Trade, 258606.050, 122, B00, S08, 1
B00, Trade, 258617.400, 110, B00, S15, 1
B00, Trade, 258629.833, 136, B00, S25, 1
B00, Trade, 258650.917, 125, S05, B00, 1
B00, Trade, 258671.267, 99, S26, B00, 1
B00, Trade, 258674.167, 111, S09, B00, 1
B00, Trade, 258684.833, 106, B00, S08, 1
B00, Trade, 258708.400, 98, S14, B00, 1
B00, Trade, 258718.217, 109, B00, S19, 1
B00, Trade, 258735.067, 109, B00, S07, 1
B00, Trade, 258752.267, 135, B00, S01, 1
B00, Trade, 258759.217, 118, B00, S29, 1
B00, Trade, 258797.117, 115, S17, B00, 1
B00, Trade, 258802.900, 60, S18, B00, 1
B00, Trade, 258836.183, 112, S02, B00, 1
