B01, Trade, 258628.350, 128, B01, S02, 1
B01, Trade, 258631.383, 129, B01, S25, 1
B01, Trade, 258635.150, 127, B01, S16, 1
B01, Trade, 258646.283, 122, S24, B01, 1
B01, Trade, 258652.800, 118, B01, S08, 1
B01, Trade, 258656.067, 112, S14, B01, 1
B01, Trade, 258662.017, 118, B01, S00, 1
B01, Trade, 258667.067, 112, B01, S00, 1
B01, Trade, 258679.500, 123, B01, S03, 1
B01, Trade, 258680.383, 125, S12, B01, 1
B01, Trade, 258709.750, 121, B01, S08, 1
B01, Trade, 258717.600, 112, B01, S17, 1
B01, Trade, 258718.683, 139, B01, S05, 1
B01, Trade, 258733.050, 116, B01, S02, 1
B01, Trade, 258744.150, 134, B01, S00, 1
B01, Trade, 258753.517, 118, B01, S20, 1
B01, Trade, 258758.400, 106, S25, B01, 1
B01, Trade, 258758.717, 123, S14, B01, 1
B01, Trade, 258768.700, 93, S11, B01, 1
B01, Trade, 258779.267, 118, B01, S17, 1
B01, Trade, 258786.017, 96, B01, S01, 1
B01, Trade, 258794.333, 139, S04, B01, 1
B01, Trade, 258808.550, 118, B01, S12, 1
B01, Trade, 258820.967, 138, B01, S27, 1
B01, Trade, 258827.017, 70, B01, S05, 1
B01, Trade, 258835.083, 105, B01, S03, 1
B01, Trade, 258837.883, 113, B01, S21, 1
B01, Trade, 258854.550, 103, B01, S13, 1
B01, Trade, 258862.983, 126, B01, S08, 1
B01, Trade, 258867.650, 109, B01, S04, 1
B01, Trade, 258873.517, 108, B01, S01, 1
B01, Trade, 258880.683, 127, B01, S21, 1
B01, Trade, 258892.283, 122, B01, S02, 1
B01, Trade, 258900.500, 113, B01, S03, 1
B01, Trade, 258913.400, 107, B01, S01, 1
B01, Trade, 258921.900, 109, B01, S03, 1
B01, Trade, 258926.433, 120, B01, S27, 1
B01, Trade, 258936.500, 119, B01, S08, 1
B01, Trade, 258940.817, 106, B01, S08, 1
B01, Trade, 258945.883, 140, B01, S25, 1
B01, Trade, 258950.250, 116, B01, S08, 1
B01, Trade, 258957.617, 92, B01, S03, 1
B01, Trade, 258974.967, 116, S14, B01, 1
B01, Trade, 258978.250, 114, B01, S13, 1
B01, Trade, 258990.633, 105, B01, S12, 1
B01, Trade, 259000.817, 139, B01, S06, 1
B01, Trade, 259012.617, 89, B01, S01, 1
B01, Trade, 259021.117, 95, B01, S28, 1
B01, Trade, 259028.933, 114, B01, S08, 1
B01, Trade, 259031.683, 111, B01, S28, 1
B01, Trade, 259035.033, 121, B01, S23, 1
B01, Trade, 259038.733, 111, B01, S15, 1
B01, Trade, 259043.433, 124, S07, B01, 1
B01, Trade, 259047.900, 120, B01, S12, 1
B01, Trade, 259058.817, 112, B01, S12, 1
B01, Trade, 259064.367, 131, B01, S03, 1
B01, Trade, 259067.817, 137, B01, S02, 1
B01, Trade, 259078.300, 100, B01, S03, 1
B01, Trade, 259083.633, 140, B01, S08, 1
B01, Trade, 259090.767, 101, B01, S06, 1
B01, Trade, 259115.567, 138, B01, S07, 1
B01, Trade, 259126.983, 131, B01, S05, 1
B01, Trade, 259139.233, 125, B01, S06, 1
B01, Trade, 259146.683, 127, S11, B01, 1
B01, Trade, 259150.800, 107, S04, B01, 1
B01, Trade, 259162.500, 133, B01, S25, 1
B01, Trade, 259167.117, 108, S00, B01, 1
B01, Trade, 259178.183, 128, B01, S10, 1
B01, Trade, 259181.300, 138, B01, S12, 1
B01, Trade, 259185.933, 127, S27, B01, 1
B01, Trade, 259190.850, 126, B01, S15, 1
B01, Trade, 259194.483, 130, B01, S07, 1
B01, Trade, 259200.000, 130, B01, S11, 1
B02, 100
B02, Trade, 258141.800, 114, B02, S04, 1
B02, Trade, 258144.767, 117, B02, S05, 1
B02, Trade, 258154.783, 126, S19, B02, 1
B02, Trade, 258175.317, 131, B02, S03, 1
B02, Trade, 258181.250, 126, B02, S27, 1
B02, Trade, 258191.050, 117, B02, S08, 1
B02, Trade, 258199.300, 110, B02, S06, 1
B02, Trade, 258208.633, 113, B02, S20, 1
B02, Trade, 258227.883, 100, S04, B02, 1
B02, Trade, 258237.967, 93, B02, S20, 1
B02, Trade, 258254.800, 103, B02, S02, 1
B02, Trade, 258265.533, 117, S07, B02, 1
B02, Trade, 258271.383, 118, B02, S28, 1
B02, Trade, 258287.050, 125, B02, S03, 1
B02, Trade, 258294.983, 129, S00, B02, 1
B02, Trade, 258308.850, 123, B02, S23, 1
B02, Trade, 258319.867, 108, B02, S08, 1
B02, Trade, 258325.517, 98, B02, S25, 1
B02, Trade, 258330.533, 107, S00, B02, 1
B02, Trade, 258338.233, 121, S26, B02, 1
B02, Trade, 258377.867, 122, B02, S15, 1
B02, Trade, 258387.367, 113, B02, S08, 1
B02, Trade, 258393.150, 115, B02, S24, 1
B02, Trade, 258397.983, 127, B02, S02, 1
B02, Trade, 258406.200, 130, B02, S19, 1
B02, Trade, 258420.433, 87, B02, S02, 1
B02, Trade, 258425.417, 128, B02, S17, 1
B02, Trade, 258429.250, 125, B02, S25, 1
B02, Trade, 258436.017, 114, S15, B02, 1
B02, Trade, 258441.733, 99, B02, S05, 1
B02, Trade, 258442.617, 100, B02, S23, 1
B02, Trade, 258457.367, 120, S28, B02, 1
B02, Trade, 258473.400, 107, B02, S05, 1
B02, Trade, 258480.417, 100, B02, S16, 1
B02, Trade, 258495.833, 125, B02, S04, 1
