B00, 100
B00, Trade, 258661.833, 140, B00, S07, 1
B00, Trade, 258669.283, 105, S11, B00, 1
B00, Trade, 258671.150, 102, S22, B00, 1
B00, Trade, 258675.433, 137, B00, S10, 1
B00, Trade, 258681.300, 131, S29, B00, 1
B00, Trade, 258686.300, 140, B00, S15, 1
B00, Trade, 258691.633, 113, S11, B00, 1
B00, Trade, 258696.183, 130, B00, S03, 1
B00, Trade, 258701.983, 140, B00, S16, 1
B00, Trade, 258704.600, 140, B00, S22, 1
B00, Trade, 258714.000, 118, S15, B00, 1
B00, Trade, 258718.983, 123, S16, B00, 1
B00, Trade, 258723.083, 117, S25, B00, 1
B00, Trade, 258724.467, 138, B00, S24, 1
B00, Trade, 258732.950, 139, B00, S16, 1
B00, Trade, 258738.417, 140, B00, S18, 1
B00, Trade, 258742.100, 101, S17, B00, 1
B00, Trade, 258749.000, 140, B00, S13, 1
B00, Trade, 258752.383, 139, B00, S08, 1
B00, Trade, 258763.917, 129, S17, B00, 1
B00, Trade, 258776.133, 139, B00, S02, 1
B00, Trade, 258782.517, 138, B00, S22, 1
B00, Trade, 258785.350, 140, S16, B00, 1
B00, Trade, 258793.867, 138, B00, S11, 1
B00, Trade, 258797.000, 126, S17, B00, 1
B00, Trade, 258800.383, 112, S12, B00, 1
B00, Trade, 258809.117, 133, S23, B00, 1
B00, Trade, 258814.400, 139, B00, S03, 1
B00, Trade, 258817.267, 140, B00, S28, 1
B00, Trade, 258820.433, 131, S25, B00, 1
B00, Trade, 258828.333, 140, B00, S24, 1
B00, Trade, 258833.883, 84, S25, B00, 1
B00, Trade, 258834.117, 84, S11, B00, 1
B00, Trade, 258845.100, 134, S29, B00, 1
B00, Trade, 258850.600, 130, S23, B00, 1
B00, Trade, 258857.933, 135, S05, B00, 1
B00, Trade, 258863.917, 139, B00, S02, 1
B00, Trade, 258866.050, 136, S25, B00, 1
B00, Trade, 258874.150, 104, S16, B00, 1
B00, Trade, 258880.300, 140, B00, S27, 1
B00, Trade, 258883.783, 135, S16, B00, 1
B00, Trade, 258885.850, 140, B00, S19, 1
B00, Trade, 258894.683, 139, B00, S04, 1
B00, Trade, 258896.633, 140, S29, B00, 1
B00, Trade, 258905.450, 139, B00, S15, 1
B00, Trade, 258906.800, 130, S16, B00, 1
B00, Trade, 258914.217, 134, S22, B00, 1
B00, Trade, 258916.683, 138, B00, S20, 1
B00, Trade, 258920.767, 136, S16, B00, 1
B00, Trade, 258929.533, 140, B00, S04, 1
B00, Trade, 258932.050, 140, B00, S21, 1
B00, Trade, 258938.117, 122, S16, B00, 1
B00, Trade, 258940.067, 118, S29, B00, 1
B00, Trade, 258952.317, 129, S01, B00, 1
B00, Trade, 258953.400, 139, B00, S20, 1
B00, Trade, 258955.400, 133, S05, B00, 1
B00, Trade, 258964.050, 138, B00, S16, 1
B00, Trade, 258971.000, 122, S25, B00, 1
B00, Trade, 258972.817, 127, S22, B00, 1
B00, Trade, 258979.267, 140, B00, S20, 1
B00, Trade, 258984.883, 127, S22, B00, 1
B00, Trade, 258988.433, 140, B00, S25, 1
B00, Trade, 258993.317, 136, S29, B00, 1
B00, Trade, 258996.417, 134, S25, B00, 1
B00, Trade, 259001.767, 123, S08, B00, 1
B00, Trade, 259009.750, 131, S25, B00, 1
B00, Trade, 259014.833, 140, B00, S03, 1
B00, Trade, 259019.033, 131, S25, B00, 1
B00, Trade, 259024.200, 138, S29, B00, 1
B00, Trade, 259025.650, 133, S22, B00, 1
B00, Trade, 259039.533, 127, S08, B00, 1
B00, Trade, 259046.167, 114, S25, B00, 1
B00, Trade, 259049.650, 91, S11, B00, 1
B00, Trade, 259055.500, 138, B00, S02, 1
B00, Trade, 259057.700, 140, B00, S24, 1
B00, Trade, 259066.667, 140, B00, S01, 1
B00, Trade, 259068.833, 136, B00, S10, 1
B00, Trade, 259073.500, 139, B00, S13, 1
B00, Trade, 259081.100, 140, B00, S00, 1
B00, Trade, 259084.400, 139, B00, S20, 1
B00, Trade, 259086.883, 123, S15, B00, 1
B00, Trade, 259092.900, 123, S23, B00, 1
B00, Trade, 259099.233, 140, B00, S07, 1
B00, Trade, 259104.933, 130, S23, B00, 1
B00, Trade, 259110.417, 139, B00, S19, 1
B00, Trade, 259116.800, 140, B00, S19, 1
B00, Trade, 259119.150, 139, S05, B00, 1
B00, Trade, 259125.650, 137, B00, S20, 1
B00, Trade, 259133.033, 140, B00, S11, 1
B00, Trade, 259143.283, 140, B00, S07, 1
B00, Trade, 259152.433, 139, B00, S27, 1
B00, Trade, 259161.433, 138, B00, S21, 1
B00, Trade, 259162.400, 133, S11, B00, 1
B00, Trade, 259168.250, 140, B00, S11, 1
B00, Trade, 259175.233, 119, S23, B00, 1
B00, Trade, 259179.667, 100, S15, B00, 1
B00, Trade, 259187.483, 138, B00, S15, 1
B00, Trade, 259191.067, 60, S16, B00, 1
B00, Trade, 259195.517, 114, S08, B00, 1
B00, Trade, 259197.850, 108, S23, B00, 1
B01, 100
B01, Trade, 258655.233, 140, B01, S27, 1
B01, Trade, 258663.100, 140, B01, S08, 1
B01, Trade, 258665.733, 135, B01, S23, 1
B01, Trade, 258674.833, 140, B01, S00, 1
B01, Trade, 258678.817, 134, B01, S06, 1
B01, Trade, 258685.983, 140, B01, S16, 1
B01, Trade, 258686.967, 140, B01, S17, 1
B01, Trade, 258688.200, 127, B01, S02, 1
B01, Trade, 258695.467, 134, B01, S20, 1
B01, Trade, 258701.483, 140, B01, S04, 1
B01, Trade, 258703.950, 140, B01, S19, 1
B01, Trade, 258713.967, 108, B01, S10, 1
B01, Trade, 258719.400, 122, B01, S10, 1
B01, Trade, 258725.800, 140, B01, S07, 1
B01, Trade, 258729.033, 140, B01, S09, 1
B01, Trade, 258734.917, 136, B01, S21, 1
B01, Trade, 258743.700, 112, B01, S21, 1
B01, Trade, 258751.133, 140, B01, S29, 1
B01, Trade, 258756.883, 140, B01, S21, 1
B01, Trade, 258761.367, 125, B01, S20, 1
B01, Trade, 258768.250, 123, B01, S04, 1
B01, Trade, 258771.017, 140, B01, S16, 1
B01, Trade, 258777.600, 116, B01, S07, 1
B01, Trade, 258781.717, 140, B01, S01, 1
B01, Trade, 258788.400, 123, S25, B01, 1
B01, Trade, 258791.350, 140, B01, S04, 1
B01, Trade, 258796.150, 110, B01, S14, 1
B01, Trade, 258805.483, 140, B01, S01, 1
B01, Trade, 258810.700, 140, B01, S03, 1
B01, Trade, 258820.067, 127, B01, S16, 1
B01, Trade, 258822.583, 78, B01, S14, 1
B01, Trade, 258829.033, 140, B01, S01, 1
B01, Trade, 258833.600, 80, B01, S04, 1
B01, Trade, 258835.450, 112, B01, S12, 1
B01, Trade, 258841.267, 140, B01, S21, 1
B01, Trade, 258848.200, 133, B01, S20, 1
B01, Trade, 258851.017, 130, B01, S09, 1
B01, Trade, 258856.050, 112, B01, S24, 1
B01, Trade, 258864.083, 131, B01, S20, 1
B01, Trade, 258868.217, 123, B01, S24, 1
B01, Trade, 258871.583, 98, B01, S20, 1
B01, Trade, 258877.633, 108, B01, S08, 1
B01, Trade, 258882.350, 140, B01, S10, 1
B01, Trade, 258888.900, 140, B01, S29, 1
B01, Trade, 258892.633, 131, B01, S04, 1
B01, Trade, 258896.400, 128, B01, S21, 1
B01, Trade, 258902.933, 140, B01, S18, 1
B01, Trade, 258907.300, 110, B01, S04, 1
B01, Trade, 258913.000, 127, B01, S01, 1
B01, Trade, 258918.533, 140, B01, S09, 1
B01, Trade, 258924.467, 113, S25, B01, 1
B01, Trade, 258927.533, 128, S09, B01, 1
B01, Trade, 258937.383, 126, B01, S09, 1
B01, Trade, 258939.083, 118, B01, S19, 1
B01, Trade, 258942.683, 98, B01, S26, 1
B01, Trade, 258945.767, 117, S17, B01, 1
B01, Trade, 258954.517, 125, B01, S10, 1
B01, Trade, 258956.717, 129, B01, S19, 1
B01, Trade, 258961.583, 108, B01, S27, 1
B01, Trade, 258972.200, 114, B01, S26, 1
B01, Trade, 258977.333, 140, B01, S19, 1
B01, Trade, 258984.367, 109, B01, S13, 1
B01, Trade, 258987.000, 140, B01, S10, 1
B01, Trade, 258991.800, 115, B01, S06, 1
B01, Trade, 258999.417, 119, B01, S03, 1
B01, Trade, 259005.817, 140, B01, S28, 1
B01, Trade, 259009.317, 116, B01, S10, 1
B01, Trade, 259015.217, 140, B01, S21, 1
B01, Trade, 259020.117, 122, B01, S19, 1
B01, Trade, 259023.850, 135, S11, B01, 1
B01, Trade, 259033.633, 140, B01, S04, 1
B01, Trade, 259037.367, 140, B01, S26, 1
B01, Trade, 259045.550, 103, B01, S21, 1
B01, Trade, 259048.883, 77, B01, S07, 1
B01, Trade, 259053.883, 140, B01, S25, 1
B01, Trade, 259063.300, 111, B01, S24, 1
B01, Trade, 259069.267, 133, B01, S19, 1
B01, Trade, 259072.233, 140, B01, S02, 1
B01, Trade, 259076.867, 129, B01, S09, 1
B01, Trade, 259082.467, 140, B01, S16, 1
B01, Trade, 259091.517, 117, S01, B01, 1
B01, Trade, 259092.450, 117, B01, S18, 1
B01, Trade, 259099.250, 140, B01, S04, 1
B01, Trade, 259112.950, 135, B01, S15, 1
B01, Trade, 259115.300, 140, B01, S20, 1
B01, Trade, 259120.933, 116, B01, S21, 1
B01, Trade, 259127.200, 80, B01, S20, 1
B01, Trade, 259130.833, 140, B01, S13, 1
B01, Trade, 259133.183, 140, B01, S29, 1
B01, Trade, 259140.650, 140, B01, S21, 1
B01, Trade, 259144.517, 129, B01, S24, 1
B01, Trade, 259146.833, 117, B01, S20, 1
B01, Trade, 259151.283, 91, B01, S23, 1
B01, Trade, 259159.750, 140, B01, S19, 1
B01, Trade, 259163.983, 140, B01, S21, 1
B01, Trade, 259173.567, 82, B01, S10, 1
B01, Trade, 259175.217, 89, B01, S24, 1
B01, Trade, 259186.400, 140, B01, S07, 1
B01, Trade, 259192.300, 61, B01, S26, 1
B01, Trade, 259199.367, 140, B01, S20, 1
B02, 100
